2026-06-06 11:42:03.540 [info] Starting Excalidraw MCP server...
2026-06-06 11:42:03.970 [debug] Connecting to transport...
2026-06-06 11:42:03.972 [info] Excalidraw MCP server running on stdio
2026-06-08 06:58:49.098 [info] Starting Excalidraw MCP server...
2026-06-08 06:58:49.104 [debug] Connecting to transport...
2026-06-08 06:58:49.181 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.182 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.182 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.183 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.183 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.184 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.184 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.185 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.185 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.186 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.187 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.188 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.188 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.189 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.189 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.190 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.191 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.191 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.192 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.192 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.193 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.193 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.193 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.194 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.194 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.195 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.195 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.196 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.196 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.198 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.198 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.199 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.199 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.200 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.200 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.201 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.201 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.202 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.203 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.204 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.206 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.206 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.208 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.209 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.210 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.210 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.211 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.211 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.212 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.213 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.213 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.214 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.214 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.215 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.215 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.216 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.216 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.217 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.217 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.218 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.219 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.219 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.220 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.221 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.221 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.222 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.222 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.222 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.223 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.223 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.224 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.224 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.225 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.225 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.226 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.226 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.227 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.227 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.228 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.228 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.228 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.229 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.229 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.230 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.230 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.231 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.231 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.232 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.232 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.233 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.233 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.234 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.234 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.235 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.235 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.235 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.236 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.237 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.238 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.238 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.239 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.239 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.240 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.240 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.241 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.241 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.242 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.242 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.243 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.243 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.244 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.244 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.245 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.246 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.246 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.246 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.247 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.247 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.248 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.248 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.249 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.249 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.250 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.250 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.251 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.251 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.252 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.253 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.253 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.254 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.255 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.256 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.257 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.258 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.258 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.259 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.260 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.260 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.261 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.261 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.262 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.262 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.263 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.263 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.264 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.264 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.265 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.265 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.265 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.266 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.266 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.267 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.268 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.268 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.269 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.269 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.270 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.271 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.271 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.272 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.272 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.273 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.273 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.274 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.274 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.274 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.275 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.275 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.276 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.276 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.277 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.277 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.278 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.278 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.278 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.279 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.279 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.280 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.280 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.281 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.281 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.282 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.282 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.283 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.283 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.284 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.284 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.284 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.285 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.285 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.286 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.287 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.287 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.288 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.569 [info] Starting Excalidraw MCP server...
2026-06-08 06:58:49.575 [debug] Connecting to transport...
2026-06-08 06:58:49.577 [info] Excalidraw MCP server running on stdio
2026-06-08 06:58:49.612 [info] Listing available tools
2026-06-08 06:58:49.290 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.291 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.292 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.292 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.294 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.294 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.295 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.295 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.296 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.296 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.297 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.297 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.298 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.298 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.299 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.300 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.300 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.301 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.301 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.301 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.302 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.302 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.303 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.303 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.304 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.304 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.305 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.305 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.306 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.306 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.307 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.307 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.308 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.308 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.309 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.309 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.310 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.310 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.310 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.311 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.311 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.312 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.312 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.313 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.313 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.314 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.315 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.316 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.317 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.317 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.318 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.318 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.319 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.320 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.321 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.321 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.322 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.322 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.323 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.323 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.324 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.324 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.325 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.325 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-08 06:58:49.326 [error] Uncaught exception: EPIPE: broken pipe, write
